cloud           ,l_min(deg),l_max(deg),b_min(deg),b_max(deg), d_mean(pc), d_std(pc),n_sightlines
Aquila_South    ,      36.8,      39.3,     -19.1,     -15.1,    132.2,    8.7,    4
Ophiuchus       ,     -10.7,       8.4,      12.0,      22.0,    139.4,   14.5,   16
Taurus          ,     166.2,     175.8,     -19.2,     -12.3,    146.9,   13.3,   10
Corona_Australis,      -0.5,       0.8,     -21.0,     -17.8,    155.7,    9.0,    3
Lupus           ,     -21.3,     -12.7,       6.4,      17.4,    168.5,   44.7,    6
Pipe            ,      -3.1,      -3.1,       7.3,       7.3,    180.0,   10.0,    1
Chamaeleon      ,     -62.5,     -56.7,     -16.7,     -14.2,    187.0,   24.6,    3
Coalsack        ,     -60.0,     -57.1,      -2.6,       3.1,    188.8,    4.1,    6
Hercules        ,      42.8,      45.1,       7.9,       8.9,    225.3,    4.0,    3
LBN917          ,    -156.3,    -156.3,     -30.3,     -30.3,    232.0,   10.0,    1
Aquila_Rift     ,      16.0,      21.8,       9.2,      16.6,    236.6,   50.3,    5
LBN942          ,    -154.4,    -154.4,     -22.0,     -22.0,    257.0,   10.0,    1
Pegasus         ,      88.8,     105.6,     -41.3,     -30.6,    260.2,   19.6,    5
LBN969          ,    -151.6,    -151.6,     -22.2,     -22.2,    274.0,   10.0,    1
Cam             ,     144.8,     148.8,      17.2,      17.8,    280.6,   78.8,    5
Perseus         ,     157.5,     160.8,     -22.8,     -16.3,    281.8,   28.9,   18
L1333           ,     128.9,     128.9,      13.7,      13.7,    283.0,   10.0,    1
LBN906          ,    -157.8,    -157.8,     -31.4,     -31.4,    287.0,   10.0,    1
IC2118          ,    -153.6,    -152.7,     -27.2,     -26.0,    294.7,   29.3,    3
LBN968          ,    -151.6,    -151.6,     -28.4,     -28.4,    319.0,   10.0,    1
L1265           ,     115.9,     115.9,      -2.0,      -2.0,    344.0,   10.0,    1
L1251           ,     114.6,     114.6,      14.5,      14.5,    351.0,   10.0,    1
Ursa_Major      ,     143.4,     158.5,      35.2,      40.7,    360.5,   33.3,    4
L1228           ,     111.8,     111.8,      20.2,      20.2,    366.0,   10.0,    1
Spider          ,     134.8,     134.8,      40.5,      40.5,    369.0,   10.0,    1
CB29            ,    -154.2,    -154.2,     -21.6,     -21.6,    374.0,   10.0,    1
L1634           ,    -152.4,    -152.4,     -23.2,     -22.8,    376.5,   17.7,    2
Polaris         ,     123.5,     129.5,      17.3,      37.9,    385.3,   75.1,    3
L1616           ,    -156.5,    -156.5,     -24.8,     -24.8,    392.0,   10.0,    1
CB28            ,    -156.0,    -156.0,     -25.3,     -25.3,    398.0,   10.0,    1
LBN991          ,    -146.4,    -146.4,     -28.9,     -28.9,    408.0,   10.0,    1
L1617           ,    -156.5,    -156.5,     -12.0,     -12.0,    414.0,   10.0,    1
L1622           ,    -155.3,    -155.3,     -11.8,     -11.8,    418.0,   10.0,    1
Orion_B         ,    -158.7,    -152.1,     -16.8,     -13.3,    430.8,   26.0,    8
Orion_A         ,    -155.3,    -145.3,     -20.1,     -17.3,    435.6,   40.5,    9
California      ,     161.2,     163.8,      -9.5,      -7.9,    452.0,   15.1,    3
Draco           ,      89.5,      89.5,      38.4,      38.4,    481.0,   10.0,    1
Serpens         ,      28.1,      32.9,       2.6,       5.2,    487.3,   36.2,   11
Lacerta         ,      95.8,      96.1,     -11.5,     -10.2,    488.5,   21.9,    2
L1228D          ,     112.3,     112.3,      13.8,      13.8,    491.0,   10.0,    1
Coalsack_North  ,      91.3,      92.6,       3.5,       4.3,    561.7,   15.0,    3
Cepheus         ,     103.5,     116.1,       5.5,      20.8,    616.1,  295.2,   28
L988            ,      90.2,      90.7,       2.3,       2.4,    619.5,   10.6,    2
L1335           ,     128.9,     128.9,       4.3,       4.3,    647.0,   10.0,    1
L977            ,      89.5,      89.8,       2.0,       2.2,    651.0,   12.7,    2
Circinus        ,     -43.1,     -41.6,      -3.9,      -3.2,    679.0,    5.7,    2
Norma           ,     -21.2,     -21.2,       1.8,       1.8,    721.0,   10.0,    1
Monoceros_OB1   ,    -159.6,    -156.9,       0.8,       2.7,    748.7,   26.8,    6
IC5146          ,      93.4,      94.4,      -5.5,      -4.2,    761.8,   27.0,    4
North_America   ,      81.7,      86.6,      -2.2,       0.1,    809.3,   41.0,   10
Monoceros_R2    ,    -147.0,    -139.1,     -12.9,      -7.7,    855.8,   79.2,    6
L1340           ,     130.0,     130.0,      11.5,      11.5,    858.0,   10.0,    1
L1307           ,     124.3,     124.6,       2.6,       3.3,    868.0,   48.1,    2
L1302           ,     122.0,     122.0,      -1.4,      -1.4,    906.0,   10.0,    1
Vela C          ,     -95.7,     -93.9,       1.2,       2.5,    917.4,   43.4,    5
IC1396          ,      98.9,     100.4,       3.4,       4.7,    917.8,   16.2,    4
L1306           ,     125.6,     126.8,      -0.8,      -0.6,    922.0,   26.9,    2
L1355           ,     132.8,     133.6,       8.9,       9.3,    936.0,   17.0,    2
